dd,lat,lon
2016-04-22,40.664,-73.96
2016-08-28,53.328,-113.6
2016-02-08,53.544,-113.512
2017-10-05,30.296,-97.784
2017-08-21,40.144,-83.368
2017-08-26,39.968,-75.192
2017-08-08,40.664,-80.288
2017-08-04,40.752,-72.824
2017-07-14,36.144,-95.848
2017-07-10,39.304,-76.6
2017-07-07,38.912,-76.952
2017-05-13,40.84,-72.56
2017-04-08,35.128,-89.96
2016-08-29,29.728,-95.496
2017-02-07,36.056,-119.752
2017-01-17,51.128,-114.04
2017-01-16,52.136,-113.864
2016-09-30,29.464,-98.488
2016-07-28,53.368,-113.16
2017-01-08,54.288,-114.392
2016-12-18,35.616,-119.4
2016-12-30,52.888,-113.512
2016-12-22,53.28,-113.248
2016-11-13,29.728,-98.488
2016-10-17,29.856,-98.4
2016-11-14,27.528,-99.448
2016-10-16,29.728,-98.224
2016-09-27,37.328,-121.952
2016-09-03,29.68,-95.584
2016-09-02,29.856,-95.408
2016-02-07,53.584,-113.952
2012-07-18,51.016,-114.048
2016-08-09,52.976,-113.336
2016-08-14,53.496,-113.864
